review,rating,date,bank,source,sentiment_label,sentiment_score,theme
Awesome,5,2025-11-11,CBE,Google Play,POSITIVE,0.9998682737350464,User Interface & Experience
I am not able to transfer. The app is not responding,1,2025-11-11,CBE,Google Play,NEGATIVE,0.999775230884552,Customer Support
Very convenient App,5,2025-11-11,CBE,Google Play,POSITIVE,0.994573414325714,User Interface & Experience
excellent but sometimes can not connect,5,2025-11-10,CBE,Google Play,NEGATIVE,0.9832204580307008,User Interface & Experience
wow apk,5,2025-11-10,CBE,Google Play,POSITIVE,0.9992477893829346,Transaction Performance
best 100 %,5,2025-11-10,CBE,Google Play,POSITIVE,0.9998010993003844,Feature Requests
bad app,1,2025-11-10,CBE,Google Play,NEGATIVE,0.9997212290763856,Customer Support
best app,5,2025-11-10,CBE,Google Play,POSITIVE,0.999686598777771,Feature Requests
nice app,5,2025-11-10,CBE,Google Play,POSITIVE,0.9998061060905457,Account Access Issues
the app constantly glitches and won't stop loading despite having a decent connection and a cleared cache. telebirr is way better,1,2025-11-10,CBE,Google Play,POSITIVE,0.8869743943214417,Account Access Issues
I can't access it properly I think it needs update,1,2025-11-10,CBE,Google Play,NEGATIVE,0.9996213912963868,Customer Support
👌👌,5,2025-11-10,CBE,Google Play,NEGATIVE,0.6970565915107727,Account Access Issues
best 👌,5,2025-11-10,CBE,Google Play,POSITIVE,0.9997019171714784,Feature Requests
not Refresh,2,2025-11-10,CBE,Google Play,NEGATIVE,0.999051868915558,Account Access Issues
your statement is not used as wanted,1,2025-11-10,CBE,Google Play,NEGATIVE,0.99908447265625,Transaction Performance
good very good,5,2025-11-09,CBE,Google Play,POSITIVE,0.9998477697372437,User Interface & Experience
this is absolute trash why because it's not Woking most time the servers are down even though I'm using 4g data Internet they steal not working they use to work with out even data package now it's trash can't even send money,1,2025-11-09,CBE,Google Play,NEGATIVE,0.9997031092643738,Customer Support
Bayeee galatooma kana caalati nu gammachisa 🌏🤌🏻💴💸🥰👌🏻🙏🏻,5,2025-11-08,CBE,Google Play,NEGATIVE,0.98004812002182,Account Access Issues
Good !,5,2025-11-08,CBE,Google Play,POSITIVE,0.9998268485069276,User Interface & Experience
i like it,5,2025-11-08,CBE,Google Play,POSITIVE,0.99985933303833,Customer Support
Very nice app,5,2025-11-08,CBE,Google Play,POSITIVE,0.9998562335968018,Account Access Issues
the app is not functional this week.,4,2025-11-08,CBE,Google Play,NEGATIVE,0.9996664524078368,Customer Support
very updated bank,5,2025-11-06,CBE,Google Play,POSITIVE,0.999656081199646,User Interface & Experience
tankyu,5,2025-11-05,CBE,Google Play,POSITIVE,0.8404368162155151,Account Access Issues
Numbers 2 and 3 don't write during pin verification.,5,2025-11-05,CBE,Google Play,NEGATIVE,0.986690640449524,Transaction Performance
"once it is uninstalled, you need to visit a nearby bank. you go there and they ask you to have a new sim card which hasn't been used before. so you should buy a new sim card and you go back to them with a new sim card, when you reach there service provider says authentication pin is not arrive, the system is not working come back tomorrow.",1,2025-11-05,CBE,Google Play,NEGATIVE,0.9989122152328492,Feature Requests
loved it,5,2025-11-05,CBE,Google Play,POSITIVE,0.9998797178268432,Feature Requests
this app is not working on my phone,5,2025-11-03,CBE,Google Play,NEGATIVE,0.9996734857559204,Customer Support
CBE needs to show transaction fees before the transaction is confirmed and not after. This is a big issue as fees are no longer insignificant.,3,2025-11-03,CBE,Google Play,NEGATIVE,0.964024543762207,Customer Support
"After the recent updates, I am unable to download a receipt. I can't see the names of account holders I've previously transacted with. Very important. Please fix it asap.",1,2025-11-03,CBE,Google Play,NEGATIVE,0.9985938668251038,User Interface & Experience
wow 😘😘😘,4,2025-11-02,CBE,Google Play,POSITIVE,0.9992976188659668,Transaction Performance
mobile banking broblem,5,2025-11-01,CBE,Google Play,NEGATIVE,0.9918060302734376,Customer Support
good job,5,2025-11-01,CBE,Google Play,POSITIVE,0.999835729598999,User Interface & Experience
it is a good and clear apps to use,4,2025-10-31,CBE,Google Play,POSITIVE,0.9998574256896972,User Interface & Experience
ለምንድን ነው ከንግድ ባንክ ወደ ቴሌብር 5 ብር ሲተላለፍ 11 ብር እንዲቆርጥ ያደረጋችሁት,1,2025-10-31,CBE,Google Play,NEGATIVE,0.929838240146637,Transaction Performance
I love this app b/c every option in the app very clear and supportive.,5,2025-10-30,CBE,Google Play,POSITIVE,0.9998561143875122,Customer Support
niiceh,5,2025-10-29,CBE,Google Play,POSITIVE,0.8779535293579102,Account Access Issues
the app is good but their is no dark mode you have to add it,3,2025-10-29,CBE,Google Play,POSITIVE,0.9965399503707886,User Interface & Experience
🤮,1,2025-10-29,CBE,Google Play,NEGATIVE,0.6970565915107727,Account Access Issues
abdulakim abrahim elemoo,5,2025-10-29,CBE,Google Play,POSITIVE,0.9634568691253662,Account Access Issues
strong,5,2025-10-28,CBE,Google Play,POSITIVE,0.999862551689148,Transaction Performance
Abebaw Zenebe,5,2025-10-28,CBE,Google Play,NEGATIVE,0.5422849655151367,Account Access Issues
good I love it keep it up but if we had a new update that will be fire Soo good,5,2025-10-27,CBE,Google Play,POSITIVE,0.9990962743759156,Transaction Performance
Cbe,5,2025-10-27,CBE,Google Play,POSITIVE,0.9966009855270386,Transaction Performance
Active and granted system,5,2025-10-27,CBE,Google Play,POSITIVE,0.998322069644928,Customer Support
fast app,4,2025-10-27,CBE,Google Play,POSITIVE,0.9983617663383484,Feature Requests
cool 😎,5,2025-10-27,CBE,Google Play,POSITIVE,0.9997991919517516,User Interface & Experience
Galaxy A10s,3,2025-10-26,CBE,Google Play,POSITIVE,0.8983982801437378,User Interface & Experience
the best apps,5,2025-10-26,CBE,Google Play,POSITIVE,0.9998617172241212,User Interface & Experience
arif app new,5,2025-10-26,CBE,Google Play,NEGATIVE,0.5203981995582581,Feature Requests
laga Bari biranch,5,2025-10-26,CBE,Google Play,NEGATIVE,0.9922856092453004,Account Access Issues
ነነሠነሠሠነሠሠሠሠነየነ,5,2025-10-26,CBE,Google Play,NEGATIVE,0.6970565915107727,Account Access Issues
I would like to suggest you improve the time out as it takes the money and doesn't return it back until the next day.,3,2025-10-25,CBE,Google Play,NEGATIVE,0.9949776530265808,Customer Support
Attractive,5,2025-10-25,CBE,Google Play,POSITIVE,0.9998689889907836,Transaction Performance
mite,5,2025-10-24,CBE,Google Play,NEGATIVE,0.996557116508484,Account Access Issues
useful,5,2025-10-24,CBE,Google Play,POSITIVE,0.9997634291648864,Transaction Performance
"not good, not bad!",3,2025-10-23,CBE,Google Play,NEGATIVE,0.9981550574302672,Customer Support
very good,5,2025-10-23,CBE,Google Play,POSITIVE,0.9998520612716676,User Interface & Experience
እጅግ በጣም አስቀያሚ ጠቁአም ዘረፋ በሚባል ደርጃ የ አገልግሎት የሚቀበል ያልሰራበትን የገዛ ገንዝበባችንን ተዘረፍን ከ 100ብር 10ብር የአገልግሎት ማስከፈል ምን ማለት ነው እባካችሁ እዩት እስትይ ከ ሞባይል ባንክ ወደ ampsa አስተላልፉና እዩት በጣም ይገርማል ሌባ ብያቸዋልሁ,1,2025-10-22,CBE,Google Play,NEGATIVE,0.9546589255332948,Account Access Issues
imp,5,2025-10-22,CBE,Google Play,NEGATIVE,0.9978600144386292,Account Access Issues
super fast app,5,2025-10-21,CBE,Google Play,POSITIVE,0.9976546168327332,Feature Requests
"The app has a nice design and useful features like balance check and transfers, but it’s unstable and often fails to connect. It also forces users to turn off Developer Options, which is unnecessary — other banking apps work fine without that. Many people use Developer Mode for normal reasons. Please fix performance issues, remove this restriction, and add biometric login for better security and convenience",2,2025-10-19,CBE,Google Play,NEGATIVE,0.998361885547638,User Interface & Experience
cbe,4,2025-10-18,CBE,Google Play,POSITIVE,0.9966009855270386,Transaction Performance
"it says ""ti is work any more in your device"" what can i do??",1,2025-10-18,CBE,Google Play,NEGATIVE,0.9991005659103394,Customer Support
blah blah blah,5,2025-10-18,CBE,Google Play,NEGATIVE,0.997789978981018,User Interface & Experience
bad ግዴታ መሆንሁ,1,2025-10-17,CBE,Google Play,NEGATIVE,0.9995405673980712,Customer Support
CBE no.1,5,2025-10-17,CBE,Google Play,POSITIVE,0.9968194961547852,Transaction Performance
"it's not work correctly when it's needed sometimes, but it works sometimes though",2,2025-10-16,CBE,Google Play,POSITIVE,0.996988832950592,Customer Support
its easy to use and more secured than the previous one. i love it and appreciate commercial bank of ethiopia for every time update.,5,2025-10-16,CBE,Google Play,POSITIVE,0.999740183353424,Customer Support
gooof,5,2025-10-16,CBE,Google Play,NEGATIVE,0.996545135974884,Account Access Issues
"Suddenly the cbe application I was using stopped working and called callcenter, I was told it's because it expired and I should vist any branch to fix it. So I went to CBE Silassie branch.After filling a form they gave me, I sat down and waited until they finish fixing 2 customer's case who arrived before me. But then when it was my turn ppl who came after me with same mobile banking and even Atm card cases were finishing up and leaving I had to get back to my work so I left.with no service.why?",1,2025-10-16,CBE,Google Play,NEGATIVE,0.9996702671051024,Customer Support
Best app,5,2025-10-16,CBE,Google Play,POSITIVE,0.999686598777771,Feature Requests
still not perfect like before,1,2025-10-15,CBE,Google Play,NEGATIVE,0.9995744824409484,Account Access Issues
This app dash board is disturbing me. it is not showing me traxation and my balance while displaying others option on dashboard. I think it is a risk full app😭😭😭🤤🤤,1,2025-10-15,CBE,Google Play,NEGATIVE,0.9985210299491882,Customer Support
APPLIED,1,2025-10-14,CBE,Google Play,POSITIVE,0.998971939086914,Account Access Issues
10 years ago,4,2025-10-14,CBE,Google Play,POSITIVE,0.9060004353523254,Feature Requests
Asefa Obsa,5,2025-10-14,CBE,Google Play,NEGATIVE,0.9988316893577576,Account Access Issues
it's good app,5,2025-10-14,CBE,Google Play,POSITIVE,0.9998689889907836,Transaction Performance
very slow,1,2025-10-14,CBE,Google Play,NEGATIVE,0.9997065663337708,Feature Requests
berhan deriba wami,4,2025-10-14,CBE,Google Play,POSITIVE,0.7555697560310364,Account Access Issues
mahamad Usman,5,2025-10-13,CBE,Google Play,POSITIVE,0.9890894293785096,Account Access Issues
Erako,5,2025-10-13,CBE,Google Play,POSITIVE,0.997822403907776,Account Access Issues
🔥🔥🔥🔥🔥,5,2025-10-13,CBE,Google Play,NEGATIVE,0.6970565915107727,Account Access Issues
opne,5,2025-10-13,CBE,Google Play,NEGATIVE,0.7972500920295715,Account Access Issues
mehommd nuri,5,2025-10-13,CBE,Google Play,POSITIVE,0.9508018493652344,Account Access Issues
Best,5,2025-10-12,CBE,Google Play,POSITIVE,0.9997941851615906,Feature Requests
providing very secure service.,5,2025-10-12,CBE,Google Play,POSITIVE,0.9993906021118164,Feature Requests
apk አሪፍ ነው ግን በጣም apkwun የሚከፍቱ የ ባንክ ሰራተኞች በጣም ደካማ ናቸው ሲያስተናግዱ ለ ደንበኛ ክብር የላቸውም እኔ መመላለስ ከጀመርኩ ቆየው ግን መፍትህ ላገኝ አልችልኩም ::,1,2025-10-12,CBE,Google Play,NEGATIVE,0.9760127663612366,Account Access Issues
ዳር ኑሮ ላለው ኣፍሪቻን ው,5,2025-10-12,CBE,Google Play,NEGATIVE,0.8832131028175354,Account Access Issues
RIYAD Mohammed Abaoli 92 527 2567,5,2025-10-12,CBE,Google Play,POSITIVE,0.9531126022338868,Account Access Issues
it doesn't show bank statement and no options to see transactions for the past months.,2,2025-10-12,CBE,Google Play,NEGATIVE,0.9994134902954102,Transaction Performance
Mamma Husen,2,2025-10-11,CBE,Google Play,POSITIVE,0.9694636464118958,Account Access Issues
3 stars because I can't see all my transaction history apart from the recents and a refresh button has been removed from the Recents activity. The app should allow clients to view all of the transactions not just recents.,3,2025-10-11,CBE,Google Play,NEGATIVE,0.9932369589805604,Customer Support
exceptional application from others bank,5,2025-10-10,CBE,Google Play,POSITIVE,0.9996663331985474,Feature Requests
"it is very nice. but i have a serious suggestion when you send to other cbe birr customer, it does not show the name of the recipient befor it actually send the money. please improve this",4,2025-10-10,CBE,Google Play,NEGATIVE,0.9849932193756104,Customer Support
good👍👍👍😊😊😊,5,2025-10-10,CBE,Google Play,NEGATIVE,0.6970565915107727,User Interface & Experience
really good app,5,2025-10-10,CBE,Google Play,POSITIVE,0.9998643398284912,Transaction Performance
smart bank CBE,5,2025-10-10,CBE,Google Play,POSITIVE,0.9971417784690856,User Interface & Experience
Ali urgesa11,3,2025-10-09,CBE,Google Play,NEGATIVE,0.9212201833724976,Account Access Issues
it's good,5,2025-10-09,CBE,Google Play,POSITIVE,0.9998360872268676,User Interface & Experience
Good apps,5,2025-10-09,CBE,Google Play,POSITIVE,0.9998608827590942,User Interface & Experience
password በጣት አሻራ ቢኖረው መልካም ነበር,4,2025-10-09,CBE,Google Play,NEGATIVE,0.8905713558197021,User Interface & Experience
best app i ever seen,5,2025-10-09,CBE,Google Play,POSITIVE,0.999450147151947,Feature Requests
it's game changing in financial system,4,2025-10-09,CBE,Google Play,POSITIVE,0.9973504543304444,Transaction Performance
"z,MKT 20_._!8+⅓⅕😘r",1,2025-10-09,CBE,Google Play,NEGATIVE,0.9171797633171082,Account Access Issues
will good updating,5,2025-10-09,CBE,Google Play,POSITIVE,0.9998600482940674,Customer Support
"service charge , vat, fee everything here is not yours they wanna take what you have, everything is not fair",1,2025-10-08,CBE,Google Play,NEGATIVE,0.9994321465492249,Feature Requests
why removing screenshot feature why?,2,2025-10-08,CBE,Google Play,NEGATIVE,0.9981147050857544,User Interface & Experience
very good application! thank you all who participate!,5,2025-10-08,CBE,Google Play,POSITIVE,0.99987530708313,User Interface & Experience
application bank commercial Ethiopia I am very happy to be able to appear in a great job on a pleasant job,5,2025-10-08,CBE,Google Play,POSITIVE,0.9998462200164796,User Interface & Experience
user compatible app!,5,2025-10-08,CBE,Google Play,POSITIVE,0.9933547973632812,Feature Requests
"I am trying to access this app on my Android phone, but sometimes doesn't work. so kindly try to improve it.",3,2025-10-07,CBE,Google Play,NEGATIVE,0.9972966313362122,Customer Support
what an amazing app. you know how much it simplify life. Thanks cbe. I proud of you.,5,2025-10-07,CBE,Google Play,POSITIVE,0.9998732805252076,User Interface & Experience
Our Commercial Bank of Ethiopia is Good !,5,2025-10-06,CBE,Google Play,POSITIVE,0.9998595714569092,User Interface & Experience
Asledin Ibsa,5,2025-10-06,CBE,Google Play,POSITIVE,0.9360381364822388,Account Access Issues
terrible when showing history of transaction it shows in disorganised way,3,2025-10-05,CBE,Google Play,NEGATIVE,0.9996823072433472,Customer Support
my bank,5,2025-10-05,CBE,Google Play,NEGATIVE,0.845909595489502,Feature Requests
Data,5,2025-10-04,CBE,Google Play,POSITIVE,0.961766242980957,Customer Support
"lately I am facing a problem with the app ,and the problem is when log in and inter my pin it doesn't work at all and says 'can't sync' why does it say that I was working fine a few day ago and also it says when I enter my pin 'change your pin to 6 digit pin and it doesn't allow me to change it please solve what is the problem with the app ?",2,2025-10-04,CBE,Google Play,NEGATIVE,0.9996047616004944,Customer Support
excellent app with lots of features,5,2025-10-04,CBE,Google Play,POSITIVE,0.9998672008514404,Feature Requests
very good 👍 mobile banking,5,2025-10-04,CBE,Google Play,POSITIVE,0.9998119473457336,Feature Requests
so special,5,2025-10-04,CBE,Google Play,POSITIVE,0.9998575448989868,User Interface & Experience
wiiy ewdihiliw esimirt niho yitnehew metgeyot ❤💞🤔😴🤩😍,1,2025-10-03,CBE,Google Play,NEGATIVE,0.949227809906006,Account Access Issues
woow cbe,5,2025-10-03,CBE,Google Play,POSITIVE,0.8725982308387756,Transaction Performance
cbe the best bank app,4,2025-10-03,CBE,Google Play,POSITIVE,0.9993187189102172,Transaction Performance
This App CBE bank it's Simple and Smart I Like it.,5,2025-10-03,CBE,Google Play,POSITIVE,0.999851942062378,Feature Requests
Rijalufaris,5,2025-10-02,CBE,Google Play,POSITIVE,0.678228497505188,Account Access Issues
its Best app But i hate the Repeatedly update request,5,2025-10-02,CBE,Google Play,NEGATIVE,0.9902864098548888,Customer Support
imoo,3,2025-10-02,CBE,Google Play,POSITIVE,0.9941620230674744,Account Access Issues
"it was good since it become a robber the vat ,tax,service charge,unbelievable charge to send to other bank, monthly charge,etc i hope one international bank comes and we all leave this bank. enough is enough",1,2025-10-02,CBE,Google Play,POSITIVE,0.991557002067566,Feature Requests
screen shoot always not allowed why?,5,2025-10-02,CBE,Google Play,NEGATIVE,0.9965750575065612,Account Access Issues
enkorabetalen,5,2025-10-01,CBE,Google Play,POSITIVE,0.9099953174591064,Account Access Issues
Gamada mahamadi,1,2025-10-01,CBE,Google Play,POSITIVE,0.7746045589447021,Account Access Issues
it is very good banking web but its network is sometimes busy i hope they willfix the problem,4,2025-09-30,CBE,Google Play,NEGATIVE,0.9974638223648072,User Interface & Experience
verfcasencod,5,2025-09-30,CBE,Google Play,NEGATIVE,0.8742530941963196,Account Access Issues
you can't get your own transaction history,1,2025-09-29,CBE,Google Play,NEGATIVE,0.9996032118797302,Transaction Performance
sintu,5,2025-09-29,CBE,Google Play,NEGATIVE,0.9596135020256042,Account Access Issues
BEST,5,2025-09-28,CBE,Google Play,POSITIVE,0.9997941851615906,Feature Requests
Bank of Ethiopia,5,2025-09-28,CBE,Google Play,POSITIVE,0.9304206371307372,Feature Requests
"All most Good, but need improvement",5,2025-09-27,CBE,Google Play,NEGATIVE,0.8200955390930176,Transaction Performance
"Great application for me,So I would like to rate with Solid 5 star.That It works well overall. So hello everyone enjoy the apps",5,2025-09-27,CBE,Google Play,POSITIVE,0.999836564064026,Customer Support
poor app all of you guys delete CBE and download BOA,1,2025-09-27,CBE,Google Play,NEGATIVE,0.9997864365577698,Customer Support
niceapp,5,2025-09-27,CBE,Google Play,POSITIVE,0.9998270869255066,Account Access Issues
the best app of all,5,2025-09-25,CBE,Google Play,POSITIVE,0.9998633861541748,Feature Requests
❤️,5,2025-09-25,CBE,Google Play,NEGATIVE,0.6970565915107727,Account Access Issues
"Most of the time when I try to open the app, it does not load. The circle keeps spinning as if it is trying to open, and get a message saying "" 2 attempts left for offline login"". This seems to mean that the app cannot connect to the internet, even though I have a stable internet connection, and all other stuff work properly.",2,2025-09-24,CBE,Google Play,NEGATIVE,0.9988370537757874,Customer Support
Juhaar,5,2025-09-24,CBE,Google Play,NEGATIVE,0.6955298185348511,Account Access Issues
I am using CBE app very fantastic.,5,2025-09-24,CBE,Google Play,POSITIVE,0.999567449092865,Customer Support
bist app tankyou,4,2025-09-23,CBE,Google Play,NEGATIVE,0.9962037205696106,Feature Requests
this is very useful and consistent app,5,2025-09-23,CBE,Google Play,POSITIVE,0.9998074173927308,Transaction Performance
"this application provides timely service in a good, fast and reliable manner.",5,2025-09-23,CBE,Google Play,POSITIVE,0.999851942062378,User Interface & Experience
So good,5,2025-09-23,CBE,Google Play,POSITIVE,0.999841570854187,User Interface & Experience
it will be more better if the app have the feature receipt verifying from QR CODE SCREENSHOT IMAGES FROM gallery ... currently IT WORKS ONLY FROM DIRECT CAMERA CAPTURING,4,2025-09-23,CBE,Google Play,NEGATIVE,0.9990800619125366,User Interface & Experience
"From the UX perspective it can be better, it's old and it's not obvious where you can find some things",3,2025-09-22,CBE,Google Play,NEGATIVE,0.9970171451568604,Transaction Performance
It is amazing app but it is more better if it is possible to transfer from account to other telebirr,5,2025-09-22,CBE,Google Play,NEGATIVE,0.7687899470329285,Account Access Issues
"The app was great while it was active. However, after the app did an update, I lost connection with a message ""Network Error"". Please try to fix it as there are many clients of CBE using this app globally from abroad countries.",3,2025-09-21,CBE,Google Play,NEGATIVE,0.9989680051803588,Customer Support
very important app,4,2025-09-21,CBE,Google Play,POSITIVE,0.9995480179786682,Feature Requests
the best of all mobile banking in Ethiopia works perfectly fine,5,2025-09-21,CBE,Google Play,POSITIVE,0.9998689889907836,Customer Support
DANTRO BAND!!!,5,2025-09-21,CBE,Google Play,POSITIVE,0.994389832019806,User Interface & Experience
some time when make transfer from Mobile account to other cbebirr wallet no show customer name so please check it......thanks my cbe.. cbebirr application very nice application wallet,5,2025-09-20,CBE,Google Play,POSITIVE,0.9983887672424316,Customer Support
this app is very useful but sometimes when you want to see specific transactions it didn't work so that way i gave 3,3,2025-09-20,CBE,Google Play,NEGATIVE,0.9951974749565125,Customer Support
why i must visit the branch i opened my account to activate the mobile banking services? if it a connected network it maybe done from any branch.,1,2025-09-20,CBE,Google Play,NEGATIVE,0.9981855750083924,Transaction Performance
አሪፍ ነው አሁን ደግሞ እስክሪን ሹት ማረግ በመቻሌ ደግብሎኛል,5,2025-09-20,CBE,Google Play,NEGATIVE,0.932232677936554,Account Access Issues
asfaw damse,5,2025-09-19,CBE,Google Play,NEGATIVE,0.987163245677948,Account Access Issues
jabadhaa namatii tolataan,5,2025-09-19,CBE,Google Play,NEGATIVE,0.962352991104126,Account Access Issues
"The App is very good in its interface and user friendly. But it could be a pro app had it had additional feature that let us run multiple accounts on a single phone with an option of ""additional"" account!",3,2025-09-19,CBE,Google Play,NEGATIVE,0.9511564373970032,Customer Support
The app is user friendly. But i want some amendment or include option of sending money to other tele birr like other cbe birr.,4,2025-09-18,CBE,Google Play,NEGATIVE,0.9966429471969604,Customer Support
Truly amazing!,5,2025-09-18,CBE,Google Play,POSITIVE,0.9998810291290284,Feature Requests
Doesn't have option to generate statement for transactions,3,2025-09-18,CBE,Google Play,NEGATIVE,0.992244303226471,Customer Support
😎,5,2025-09-18,CBE,Google Play,NEGATIVE,0.6970565915107727,Account Access Issues
